city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Gandhinagar,2026-02-12 18:22:46.075612,,49.2,50.6,342.0,10.3,131.0,16.1
Tiruchirappalli,2026-02-12 18:22:48.101962,,31.7,33.8,251.0,6.7,127.0,15.0
Salem,2026-02-12 18:22:50.231999,,18.1,20.9,219.0,4.2,122.0,8.2
Erode,2026-02-12 18:22:52.147488,,19.1,22.1,219.0,3.6,132.0,4.7
Tirunelveli,2026-02-12 18:22:54.422731,,18.3,20.8,206.0,2.7,123.0,4.0
Warangal,2026-02-12 18:22:56.831893,,42.0,44.6,293.0,5.7,159.0,15.3
Nellore,2026-02-12 18:22:58.818492,,20.0,24.0,235.0,1.7,115.0,4.8
Kurnool,2026-02-12 18:23:00.808003,,21.0,22.5,235.0,1.3,140.0,7.8
Hubballi,2026-02-12 18:23:02.481656,,17.9,19.0,214.0,3.5,152.0,7.2
Mangaluru,2026-02-12 18:23:04.500238,,28.8,32.6,246.0,2.7,160.0,4.5
Belagavi,2026-02-12 18:23:06.630602,,16.4,17.6,217.0,3.3,142.0,4.8
Tirupati,2026-02-12 18:23:08.344677,,17.1,19.6,230.0,2.5,114.0,2.9
Pondicherry,2026-02-12 18:23:09.956976,,22.4,27.4,243.0,2.6,119.0,2.9
Delhi,2026-02-12 18:22:13.738779,,28.0,31.0,484.0,14.7,118.0,19.4
Mumbai,2026-02-12 18:22:17.503959,,74.3,75.9,461.0,30.2,316.0,31.9
Kolkata,2026-02-12 18:22:20.072419,,59.5,66.4,507.0,19.0,141.0,22.9
Chennai,2026-02-12 18:22:22.311225,,19.2,24.2,278.0,3.5,105.0,3.9
Bengaluru,2026-02-12 18:22:24.239416,,12.1,13.2,377.0,7.2,106.0,3.1
Hyderabad,2026-02-12 18:22:26.406543,,24.0,25.5,388.0,4.4,151.0,10.6
Pune,2026-02-12 18:22:29.651830,,26.4,27.7,295.0,3.0,160.0,6.2
Ahmedabad,2026-02-12 18:22:33.239571,,47.3,48.8,334.0,8.4,148.0,17.2
Jaipur,2026-02-12 18:22:35.452705,,28.6,38.3,371.0,3.6,150.0,8.4
Lucknow,2026-02-12 18:22:37.210796,,29.0,33.9,332.0,8.0,113.0,11.8
Chandigarh,2026-02-12 18:22:39.508127,,39.3,41.6,657.0,8.8,136.0,21.3
Bhopal,2026-02-12 18:22:41.359279,,50.4,52.2,320.0,4.0,126.0,9.9
Indore,2026-02-12 18:22:44.239605,,49.6,51.0,363.0,6.5,142.0,11.9
Nagpur,2026-02-12 18:22:46.393481,,54.7,56.3,347.0,20.1,164.0,46.2
