city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Deoghar,2026-02-12 18:32:36.667947,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:32:39.234595,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:32:41.494570,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:32:43.737966,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:32:47.321118,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:32:50.088908,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:32:52.142235,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:32:54.596602,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:32:58.279513,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:33:00.738424,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:33:03.299816,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:33:06.315764,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:33:08.624748,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:33:10.941113,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:33:13.545229,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:33:15.476913,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:33:17.434525,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:33:19.888132,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:33:21.957125,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:33:24.413258,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:33:26.352289,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:33:28.696362,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:33:31.256424,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:33:35.142294,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:33:37.404027,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:33:39.962039,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:33:42.109949,,21.0,26.0,257.0,2.8,112.0,2.7
Delhi,2026-02-12 18:36:26.489707,,39.0,41.7,647.0,24.8,98.0,21.7
Mumbai,2026-02-12 18:36:29.163839,,66.8,68.7,524.0,27.0,265.0,28.1
Kolkata,2026-02-12 18:36:30.680085,,71.5,78.2,775.0,28.3,119.0,29.6
Chennai,2026-02-12 18:36:33.054183,,19.6,24.4,278.0,5.2,101.0,3.5
Bengaluru,2026-02-12 18:36:34.742425,,16.7,17.5,499.0,14.4,90.0,4.6
Hyderabad,2026-02-12 18:36:36.877305,,29.6,30.7,496.0,9.6,135.0,12.3
Pune,2026-02-12 18:36:38.673471,,28.4,29.5,350.0,9.8,140.0,7.4
Ahmedabad,2026-02-12 18:36:40.421217,,52.2,53.6,389.0,17.3,125.0,17.8
Jaipur,2026-02-12 18:36:42.603675,,31.7,40.4,416.0,9.8,131.0,8.9
Lucknow,2026-02-12 18:36:44.396949,,37.1,41.8,397.0,12.4,99.0,13.7
Chandigarh,2026-02-12 18:36:46.499471,,48.3,49.9,770.0,15.9,119.0,21.9
Bhopal,2026-02-12 18:36:48.123828,,51.5,53.0,409.0,5.8,112.0,9.3
Indore,2026-02-12 18:36:49.736413,,55.4,56.7,474.0,11.1,122.0,11.8
Nagpur,2026-02-12 18:36:51.262235,,60.3,61.9,429.0,22.6,146.0,43.5
Surat,2026-02-12 18:36:53.986515,,94.5,95.2,525.0,98.8,65.0,141.8
Patna,2026-02-12 18:36:56.942875,,71.2,76.6,502.0,15.7,117.0,19.3
Ranchi,2026-02-12 18:36:59.454887,,28.6,34.2,239.0,5.0,117.0,8.7
Guwahati,2026-02-12 18:37:01.681234,,33.5,36.0,701.0,9.2,100.0,4.5
Dehradun,2026-02-12 18:37:03.168701,,41.4,43.5,540.0,14.9,129.0,19.6
Shimla,2026-02-12 18:37:05.495566,,33.4,36.6,410.0,11.9,130.0,16.7
Srinagar,2026-02-12 18:37:07.230411,,53.4,61.2,1821.0,33.0,133.0,16.1
Varanasi,2026-02-12 18:37:08.775433,,47.6,54.1,574.0,13.0,105.0,13.7
Kanpur,2026-02-12 18:37:10.481348,,39.0,46.7,432.0,16.2,97.0,12.9
Amritsar,2026-02-12 18:37:12.113431,,56.9,60.1,972.0,29.7,94.0,13.9
Ludhiana,2026-02-12 18:37:15.519049,,64.5,65.4,647.0,24.7,67.0,9.8
Coimbatore,2026-02-12 18:37:17.677373,,18.7,20.5,281.0,8.2,121.0,5.4
Madurai,2026-02-12 18:37:19.967363,,25.5,27.5,247.0,8.9,108.0,6.3
Visakhapatnam,2026-02-12 18:37:22.449448,,42.7,45.2,534.0,24.9,125.0,14.7
Vijayawada,2026-02-12 18:37:25.413842,,43.7,44.8,291.0,6.1,126.0,12.9
Raipur,2026-02-12 18:37:27.298886,,73.1,75.2,537.0,26.0,107.0,28.2
Bhubaneswar,2026-02-12 18:37:29.651500,,68.0,70.3,574.0,15.4,131.0,19.4
Thiruvananthapuram,2026-02-12 18:37:31.310036,,35.0,39.2,285.0,3.0,170.0,5.7
Kochi,2026-02-12 18:37:32.951155,,36.3,38.0,256.0,9.3,150.0,5.1
Mysuru,2026-02-12 18:37:34.927869,,14.4,15.5,232.0,8.0,109.0,3.5
Jodhpur,2026-02-12 18:37:36.816292,,26.5,32.9,334.0,6.8,121.0,6.1
Udaipur,2026-02-12 18:37:38.832492,,38.8,40.9,333.0,4.1,131.0,10.4
Gwalior,2026-02-12 18:37:40.707516,,31.9,45.9,374.0,8.0,100.0,8.5
Jabalpur,2026-02-12 18:37:42.250974,,44.6,46.4,318.0,7.8,106.0,8.4
Agra,2026-02-12 18:37:44.453070,,51.5,59.8,464.0,27.1,90.0,17.6
Meerut,2026-02-12 18:37:46.200809,,35.9,38.3,456.0,19.5,104.0,21.0
Noida,2026-02-12 18:37:48.572546,,40.4,42.8,702.0,29.8,94.0,21.2
Gurugram,2026-02-12 18:37:50.384432,,40.4,42.8,1138.0,29.8,94.0,21.2
Faridabad,2026-02-12 18:37:52.216787,,40.4,42.8,738.0,29.8,94.0,21.2
Ghaziabad,2026-02-12 18:37:55.081169,,35.9,38.3,642.0,19.5,104.0,21.0
Panipat,2026-02-12 18:37:57.263564,,40.7,74.5,626.0,14.6,84.0,11.3
Sonipat,2026-02-12 18:37:59.092555,,39.0,41.7,593.0,24.8,98.0,21.7
Hisar,2026-02-12 18:38:00.962089,,37.0,38.4,464.0,16.4,78.0,5.6
Rohtak,2026-02-12 18:38:02.761874,,36.9,38.5,701.0,16.3,86.0,6.7
Bareilly,2026-02-12 18:38:04.640421,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:38:06.593811,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:38:08.778048,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:38:10.955056,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:38:12.735134,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:38:14.709794,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:38:16.226671,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:38:18.706701,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:38:21.197682,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:38:22.825559,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:38:25.561116,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:38:29.277093,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:38:30.856074,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:38:32.773374,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:38:34.580447,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:38:36.845888,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:38:38.424124,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:38:40.618962,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:38:42.594547,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:38:44.163070,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:38:47.427852,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:38:49.710115,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:38:51.729154,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:38:53.827626,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:38:55.655711,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:38:58.643316,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:39:00.461474,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:39:03.346458,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:39:05.216681,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:39:07.719731,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:39:10.221215,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:39:11.799824,,21.0,26.0,257.0,2.8,112.0,2.7
Delhi,2026-02-12 18:38:44.241707,,39.0,41.7,647.0,24.8,98.0,21.7
Mumbai,2026-02-12 18:38:45.897873,,66.8,68.7,524.0,27.0,265.0,28.1
Kolkata,2026-02-12 18:38:47.478135,,71.5,78.2,775.0,28.3,119.0,29.6
Chennai,2026-02-12 18:38:49.839957,,19.6,24.4,278.0,5.2,101.0,3.5
Bengaluru,2026-02-12 18:38:51.364441,,16.7,17.5,499.0,14.4,90.0,4.6
Hyderabad,2026-02-12 18:38:52.980037,,29.6,30.7,496.0,9.6,135.0,12.3
Pune,2026-02-12 18:38:55.029981,,28.4,29.5,350.0,9.8,140.0,7.4
Ahmedabad,2026-02-12 18:38:56.924539,,52.2,53.6,389.0,17.3,125.0,17.8
Jaipur,2026-02-12 18:38:59.018139,,31.7,40.4,416.0,9.8,131.0,8.9
Lucknow,2026-02-12 18:39:00.587869,,37.1,41.8,397.0,12.4,99.0,13.7
Chandigarh,2026-02-12 18:39:02.340823,,48.3,49.9,770.0,15.9,119.0,21.9
Bhopal,2026-02-12 18:39:04.217992,,51.5,53.0,409.0,5.8,112.0,9.3
Indore,2026-02-12 18:39:07.079625,,55.4,56.7,474.0,11.1,122.0,11.8
Nagpur,2026-02-12 18:39:09.546341,,60.3,61.9,429.0,22.6,146.0,43.5
Surat,2026-02-12 18:39:11.471849,,94.5,95.2,525.0,98.8,65.0,141.8
Patna,2026-02-12 18:39:14.041005,,71.2,76.6,502.0,15.7,117.0,19.3
Ranchi,2026-02-12 18:39:15.879417,,28.6,34.2,239.0,5.0,117.0,8.7
Guwahati,2026-02-12 18:39:17.725500,,33.5,36.0,701.0,9.2,100.0,4.5
Dehradun,2026-02-12 18:39:19.388612,,41.4,43.5,540.0,14.9,129.0,19.6
Shimla,2026-02-12 18:39:22.688455,,33.4,36.6,410.0,11.9,130.0,16.7
Srinagar,2026-02-12 18:39:24.774688,,53.4,61.2,1821.0,33.0,133.0,16.1
Varanasi,2026-02-12 18:39:26.345684,,47.6,54.1,574.0,13.0,105.0,13.7
Kanpur,2026-02-12 18:39:27.995779,,39.0,46.7,432.0,16.2,97.0,12.9
Amritsar,2026-02-12 18:39:29.728574,,56.9,60.1,972.0,29.7,94.0,13.9
Ludhiana,2026-02-12 18:39:31.643171,,64.5,65.4,647.0,24.7,67.0,9.8
Coimbatore,2026-02-12 18:39:33.519521,,18.7,20.5,281.0,8.2,121.0,5.4
Madurai,2026-02-12 18:39:35.784595,,25.5,27.5,247.0,8.9,108.0,6.3
Visakhapatnam,2026-02-12 18:39:38.934424,,42.7,45.2,534.0,24.9,125.0,14.7
Vijayawada,2026-02-12 18:39:42.932317,,43.7,44.8,291.0,6.1,126.0,12.9
Raipur,2026-02-12 18:39:45.158570,,73.1,75.2,537.0,26.0,107.0,28.2
Bhubaneswar,2026-02-12 18:39:47.365305,,68.0,70.3,574.0,15.4,131.0,19.4
Thiruvananthapuram,2026-02-12 18:39:50.458822,,35.0,39.2,285.0,3.0,170.0,5.7
Kochi,2026-02-12 18:39:52.403298,,36.3,38.0,256.0,9.3,150.0,5.1
Mysuru,2026-02-12 18:39:54.279412,,14.4,15.5,232.0,8.0,109.0,3.5
Jodhpur,2026-02-12 18:39:55.804487,,26.5,32.9,334.0,6.8,121.0,6.1
Udaipur,2026-02-12 18:39:57.858460,,38.8,40.9,333.0,4.1,131.0,10.4
Gwalior,2026-02-12 18:39:59.771249,,31.9,45.9,374.0,8.0,100.0,8.5
Jabalpur,2026-02-12 18:40:01.272935,,44.6,46.4,318.0,7.8,106.0,8.4
Agra,2026-02-12 18:40:03.379914,,51.5,59.8,464.0,27.1,90.0,17.6
Meerut,2026-02-12 18:40:07.585044,,35.9,38.3,456.0,19.5,104.0,21.0
Noida,2026-02-12 18:40:10.203277,,40.4,42.8,702.0,29.8,94.0,21.2
Gurugram,2026-02-12 18:40:12.341201,,40.4,42.8,1138.0,29.8,94.0,21.2
Faridabad,2026-02-12 18:40:14.647244,,40.4,42.8,738.0,29.8,94.0,21.2
Ghaziabad,2026-02-12 18:40:16.408914,,35.9,38.3,642.0,19.5,104.0,21.0
Panipat,2026-02-12 18:40:18.622109,,40.7,74.5,626.0,14.6,84.0,11.3
Sonipat,2026-02-12 18:40:20.837687,,39.0,41.7,593.0,24.8,98.0,21.7
Hisar,2026-02-12 18:40:22.760558,,37.0,38.4,464.0,16.4,78.0,5.6
Rohtak,2026-02-12 18:40:25.646706,,36.9,38.5,701.0,16.3,86.0,6.7
Bareilly,2026-02-12 18:40:27.629433,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:40:29.679693,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:40:32.979239,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:40:34.579569,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:40:36.299292,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:40:38.635495,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:40:40.185245,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:40:41.993400,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:40:43.918676,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:40:46.153828,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:40:48.692702,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:40:50.471478,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:40:52.891249,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:40:55.515644,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:40:57.554515,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:40:59.524085,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:41:01.151481,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:41:03.989979,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:41:07.989817,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:41:10.815374,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:41:12.354719,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:41:14.124854,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:41:16.617975,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:41:18.532325,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:41:20.428399,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:41:22.790071,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:41:25.028463,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:41:27.220502,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:41:29.863949,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:41:32.006535,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:41:34.170405,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:41:36.650357,,21.0,26.0,257.0,2.8,112.0,2.7
Delhi,2026-02-12 18:44:14.660018,,39.0,41.7,647.0,24.8,98.0,21.7
Mumbai,2026-02-12 18:44:16.617926,,66.8,68.7,524.0,27.0,265.0,28.1
Kolkata,2026-02-12 18:44:18.811601,,71.5,78.2,775.0,28.3,119.0,29.6
Chennai,2026-02-12 18:44:20.746591,,19.6,24.4,278.0,5.2,101.0,3.5
Bengaluru,2026-02-12 18:44:23.773095,,16.7,17.5,499.0,14.4,90.0,4.6
Hyderabad,2026-02-12 18:44:25.836509,,29.6,30.7,496.0,9.6,135.0,12.3
Pune,2026-02-12 18:44:28.174852,,28.4,29.5,350.0,9.8,140.0,7.4
Ahmedabad,2026-02-12 18:44:30.530095,,52.2,53.6,389.0,17.3,125.0,17.8
Jaipur,2026-02-12 18:44:34.097880,,31.7,40.4,416.0,9.8,131.0,8.9
Lucknow,2026-02-12 18:44:36.264872,,37.1,41.8,397.0,12.4,99.0,13.7
Chandigarh,2026-02-12 18:44:39.318431,,48.3,49.9,770.0,15.9,119.0,21.9
Bhopal,2026-02-12 18:44:41.585487,,51.5,53.0,409.0,5.8,112.0,9.3
Indore,2026-02-12 18:44:43.486063,,55.4,56.7,474.0,11.1,122.0,11.8
Nagpur,2026-02-12 18:44:45.681906,,60.3,61.9,429.0,22.6,146.0,43.5
Surat,2026-02-12 18:44:48.140016,,94.5,95.2,525.0,98.8,65.0,141.8
Patna,2026-02-12 18:44:50.803531,,71.2,76.6,502.0,15.7,117.0,19.3
Ranchi,2026-02-12 18:44:53.671341,,28.6,34.2,239.0,5.0,117.0,8.7
Guwahati,2026-02-12 18:44:56.032044,,33.5,36.0,701.0,9.2,100.0,4.5
Dehradun,2026-02-12 18:44:59.007609,,41.4,43.5,540.0,14.9,129.0,19.6
Shimla,2026-02-12 18:45:01.715174,,33.4,36.6,410.0,11.9,130.0,16.7
Srinagar,2026-02-12 18:45:04.523880,,53.4,61.2,1821.0,33.0,133.0,16.1
Varanasi,2026-02-12 18:45:06.750495,,47.6,54.1,574.0,13.0,105.0,13.7
Kanpur,2026-02-12 18:45:09.237106,,39.0,46.7,432.0,16.2,97.0,12.9
Amritsar,2026-02-12 18:45:11.500758,,56.9,60.1,972.0,29.7,94.0,13.9
Ludhiana,2026-02-12 18:45:13.945257,,64.5,65.4,647.0,24.7,67.0,9.8
Coimbatore,2026-02-12 18:45:16.319266,,18.7,20.5,281.0,8.2,121.0,5.4
Madurai,2026-02-12 18:45:18.451989,,25.5,27.5,247.0,8.9,108.0,6.3
Visakhapatnam,2026-02-12 18:45:20.668859,,42.7,45.2,534.0,24.9,125.0,14.7
Vijayawada,2026-02-12 18:45:22.465699,,43.7,44.8,291.0,6.1,126.0,12.9
Raipur,2026-02-12 18:45:27.181568,,73.1,75.2,537.0,26.0,107.0,28.2
Bhubaneswar,2026-02-12 18:45:28.896407,,68.0,70.3,574.0,15.4,131.0,19.4
Thiruvananthapuram,2026-02-12 18:45:31.264948,,35.0,39.2,285.0,3.0,170.0,5.7
Kochi,2026-02-12 18:45:34.222816,,36.3,38.0,256.0,9.3,150.0,5.1
Mysuru,2026-02-12 18:45:37.296655,,14.4,15.5,232.0,8.0,109.0,3.5
Jodhpur,2026-02-12 18:45:40.673224,,26.5,32.9,334.0,6.8,121.0,6.1
Udaipur,2026-02-12 18:45:42.872437,,38.8,40.9,333.0,4.1,131.0,10.4
Gwalior,2026-02-12 18:45:44.352849,,31.9,45.9,374.0,8.0,100.0,8.5
Jabalpur,2026-02-12 18:45:46.616164,,44.6,46.4,318.0,7.8,106.0,8.4
Agra,2026-02-12 18:45:48.842591,,51.5,59.8,464.0,27.1,90.0,17.6
Meerut,2026-02-12 18:45:51.144449,,35.9,38.3,456.0,19.5,104.0,21.0
Noida,2026-02-12 18:45:53.068290,,40.4,42.8,702.0,29.8,94.0,21.2
Gurugram,2026-02-12 18:45:55.934774,,40.4,42.8,1138.0,29.8,94.0,21.2
Faridabad,2026-02-12 18:45:57.837220,,40.4,42.8,738.0,29.8,94.0,21.2
Ghaziabad,2026-02-12 18:45:59.956025,,35.9,38.3,642.0,19.5,104.0,21.0
Panipat,2026-02-12 18:46:02.184845,,40.7,74.5,626.0,14.6,84.0,11.3
Sonipat,2026-02-12 18:46:05.557917,,39.0,41.7,593.0,24.8,98.0,21.7
Hisar,2026-02-12 18:46:08.337538,,37.0,38.4,464.0,16.4,78.0,5.6
Rohtak,2026-02-12 18:46:10.883568,,36.9,38.5,701.0,16.3,86.0,6.7
Bareilly,2026-02-12 18:46:13.141845,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:46:15.022302,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:46:17.434528,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:46:19.885235,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:46:21.552759,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:46:24.099541,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:46:26.855799,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:46:29.521346,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:46:32.081660,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:46:34.660957,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:46:40.686076,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:46:42.935996,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:46:45.699338,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:46:48.696332,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:46:50.734447,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:46:53.179275,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:46:55.226632,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:46:57.332216,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:47:01.269556,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:47:03.586478,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:47:05.120083,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:47:07.901389,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:47:09.422749,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:47:10.950007,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:47:12.525485,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:47:14.027490,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:47:16.554820,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:47:18.878200,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:47:21.133854,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:47:23.449628,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:47:24.985429,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:47:26.532511,,21.0,26.0,257.0,2.8,112.0,2.7
Delhi,2026-02-12 18:46:41.505434,,39.0,41.7,647.0,24.8,98.0,21.7
Mumbai,2026-02-12 18:46:44.675371,,66.8,68.7,524.0,27.0,265.0,28.1
Kolkata,2026-02-12 18:46:46.625048,,71.5,78.2,775.0,28.3,119.0,29.6
Chennai,2026-02-12 18:46:49.835789,,19.6,24.4,278.0,5.2,101.0,3.5
Bengaluru,2026-02-12 18:46:52.268630,,16.7,17.5,499.0,14.4,90.0,4.6
Hyderabad,2026-02-12 18:46:55.226632,,29.6,30.7,496.0,9.6,135.0,12.3
Pune,2026-02-12 18:46:57.582905,,28.4,29.5,350.0,9.8,140.0,7.4
Ahmedabad,2026-02-12 18:47:01.118308,,52.2,53.6,389.0,17.3,125.0,17.8
Jaipur,2026-02-12 18:47:03.642049,,31.7,40.4,416.0,9.8,131.0,8.9
Lucknow,2026-02-12 18:47:05.904377,,37.1,41.8,397.0,12.4,99.0,13.7
Chandigarh,2026-02-12 18:47:07.662288,,48.3,49.9,770.0,15.9,119.0,21.9
Bhopal,2026-02-12 18:47:09.326371,,51.5,53.0,409.0,5.8,112.0,9.3
Indore,2026-02-12 18:47:11.188626,,55.4,56.7,474.0,11.1,122.0,11.8
Nagpur,2026-02-12 18:47:12.718998,,60.3,61.9,429.0,22.6,146.0,43.5
Surat,2026-02-12 18:47:14.991953,,94.5,95.2,525.0,98.8,65.0,141.8
Patna,2026-02-12 18:47:17.039592,,71.2,76.6,502.0,15.7,117.0,19.3
Ranchi,2026-02-12 18:47:19.396365,,28.6,34.2,239.0,5.0,117.0,8.7
Guwahati,2026-02-12 18:47:22.853736,,33.5,36.0,701.0,9.2,100.0,4.5
Dehradun,2026-02-12 18:47:26.258724,,41.4,43.5,540.0,14.9,129.0,19.6
Shimla,2026-02-12 18:47:28.184603,,33.4,36.6,410.0,11.9,130.0,16.7
Srinagar,2026-02-12 18:47:29.694116,,53.4,61.2,1821.0,33.0,133.0,16.1
Varanasi,2026-02-12 18:47:32.387598,,47.6,54.1,574.0,13.0,105.0,13.7
Kanpur,2026-02-12 18:47:35.057527,,39.0,46.7,432.0,16.2,97.0,12.9
Amritsar,2026-02-12 18:47:38.338373,,56.9,60.1,972.0,29.7,94.0,13.9
Ludhiana,2026-02-12 18:47:41.005078,,64.5,65.4,647.0,24.7,67.0,9.8
Coimbatore,2026-02-12 18:47:44.275287,,18.7,20.5,281.0,8.2,121.0,5.4
Madurai,2026-02-12 18:47:46.454756,,25.5,27.5,247.0,8.9,108.0,6.3
Visakhapatnam,2026-02-12 18:47:51.864103,,42.7,45.2,534.0,24.9,125.0,14.7
Vijayawada,2026-02-12 18:47:53.566322,,43.7,44.8,291.0,6.1,126.0,12.9
